ID,text,GENDER,AGE
63d9d386183bef9b62ee0ff8854eb16d,@wickedgeekie Thank you for a well balances and thought provoking evening #uxg1,FEMALE,35-49
63d9d386183bef9b62ee0ff8854eb16d,*balanced*,FEMALE,35-49
e8c5270467874985b7c7ae90c4719788,"Yay for Kim Yu-na, Mao Asada and Joannie Rochette!!!",FEMALE,25-34
965d3e5d61a5630a23f8f992ed78b623,Citi Loan Program Ends Nationwide http://tinyurl.com/59xm98,MALE,35-49
1512dab3d94586717e785556eb10d85f,Pearl Jam this morning - Backspacer,MALE,50-64
43f91a92a71bebf5590b1b5fc2d94ee4,Snowing Fallingwater http://flic.kr/p/7Ebi6Q,MALE,35-49
046558ebe99f72a0f5c066e14fe02df3,Wondering whether @ej still checks his ir.iit.edu email address.,MALE,35-49
046558ebe99f72a0f5c066e14fe02df3,@ej strange.  I'll resend.,MALE,35-49
5e229742c224c13d32d71fc8a5e15fda,looking forward to a long weekend in germany with family and friends,FEMALE,25-34
1512dab3d94586717e785556eb10d85f,"Nine Inch Nails now - hide the shoelaces, belts, etc. What's the matter with me, it's a Friday??",MALE,50-64
7a42f316e5c86861126bbe7bd7a5ff48,Q:What's keeping you warm tonight? A:Winters are a bad joke around here not cold at all... http://formspring.me/everyueveryme/q/230885056,MALE,35-49
7a42f316e5c86861126bbe7bd7a5ff48,just loved Pictureplane - Goth Star http://awe.sm/51wU1 on @hypem,MALE,35-49
6321d152d84095b8724cfd7cdd1275ed,Use your Twitter account to make you more accessible on LinkedIn. LinkedIn doesn't permit public display of your  phone or email - Twtr does,MALE,50-64
a8367cb456aaea837429fa44bc282a39,Just answered some questions in #SCN WebClient forum. Wondering why they are still the same as one year ago... always the same issues.,MALE,25-34
ab70027ac0e4d42b9125fe611f6c3f6b,"Downloading new #java7. See http://t.co/YbKTgBX for an exampled list of changes, mainly from Project Coin.",MALE,25-34
a8367cb456aaea837429fa44bc282a39,"Can s/o explain what ""Direct Sourcing"" means in context of attracting new employees?",MALE,25-34
ab70027ac0e4d42b9125fe611f6c3f6b,Today is the 12th Annual System Administrator Appreciation Day :) http://t.co/ourRxim #fb,MALE,25-34
914b6a1afc7b2a0fe8942652d08a08d4,Check my latest pics 'Protests as Land Invasion Unit dismantles shack in DeNoon - Cape Town' @ http://t.co/04kca5Z ( http://t.co/K1VTC08 ),MALE,35-49
867ba4b6f08704fe89a81dfa6f40aaf7,coded a nice html5 video annotation mootols/joomla content plugin working,MALE,35-49
a8367cb456aaea837429fa44bc282a39,Google reader is annoying. Just when think you reached the page bottom it loads a couple of more lines. It is defacto endless scrolling.,MALE,25-34
437637df7acbd4b438a87fb52c95b4ec,@AliceMorrissey You whippersnapper you... :-),MALE,18-24
437637df7acbd4b438a87fb52c95b4ec,"Missing being @StationX at #bpark again this month, going to have to sort out some kind of virtual presence arrangement...",MALE,18-24
6321d152d84095b8724cfd7cdd1275ed,"A smile is the light in your window that tells others that there is a caring, sharing person inside.  Denis Waitley",MALE,50-64
437637df7acbd4b438a87fb52c95b4ec,"Ah Time Machine, on the rare occasions when I've needed you, you have been there. Thank you for saving my spreadsheet in such a wooshy way",MALE,18-24
c18eb25f7e2969efe1484be29f9ee3e0,What's the opposite of a freckle?,MALE,25-34
046558ebe99f72a0f5c066e14fe02df3,Feeling enlighted about how people vote: http://www.kansas.com/205/story/565669.html,MALE,35-49
1a43f005360000663e3af1cd0813aabd,I am almost done my SEXY CHEF COOKBOOK!,FEMALE,25-34
437637df7acbd4b438a87fb52c95b4ec,"@barnstormed ""My most secret source"" Sir Winston Churchill. Sounds more like Colonel Saunders :-)",MALE,18-24
7b684f506237157264bde105aee491e7,today last chance to register for the ICIC 2011 with early bird registration. We have now more than 100 registrations .http://www.haxel.com,MALE,50-64
965d3e5d61a5630a23f8f992ed78b623,Top 5 Law School Rankings Scams of 2008 http://tinyurl.com/5qgegw,MALE,35-49
965d3e5d61a5630a23f8f992ed78b623,Chicago's Best Business Schools http://tinyurl.com/5dglmw,MALE,35-49
6321d152d84095b8724cfd7cdd1275ed,If you have a LinkedIn account please check out my free mini course: www.OnlineBusinessNetworker.net/successkit - has 4 reports and 7 videos,MALE,50-64
914b6a1afc7b2a0fe8942652d08a08d4,"'Land Invasion. Protests as Land Invasion Unit dismantles shack in DeNoon, South Africa.' 1 New Photo Gallery at http://t.co/K1VTC08 (NEWS)",MALE,35-49
85ec741f5abaf5b32b29bd48ec786aea,Schalke vs. Dortmund today! Still 0-0. Go BVB!!,MALE,25-34
6321d152d84095b8724cfd7cdd1275ed,Want some super info on what needs to be on your website to be successful? Read my discussion: http://tinyurl.com/yansuf2 -LinkedIn Q&A -,MALE,50-64
965d3e5d61a5630a23f8f992ed78b623,Yen Rises to Three-Year High on Bets Central Banks to Cut Rates http://tinyurl.com/6yu74t,MALE,35-49
85ec741f5abaf5b32b29bd48ec786aea,Halftime. Schalke-BVB 0-0,MALE,25-34
d663450f605a9f3890e91be8053659c2,"Orions Reflection, where new stars are forming inside the dense nebula.  So beautiful  http://t.co/eF6jor9 via @NatGeo",FEMALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,Found first bug with HTC Thunderbolt new software download...will let me receive SMS but not send SMS texts to AT&T friends. Come on Verizon,FEMALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,@proglobber Thanks for the tip on custom backgrounds. Finally updated mine with my art! http://t.co/9wHfw65,FEMALE,35-49
85ec741f5abaf5b32b29bd48ec786aea,Schalke won 2-1. :(,MALE,25-34
914b6a1afc7b2a0fe8942652d08a08d4,1 New Front Page at Demotix. Check it out at http://t.co/K1VTC08 (PUBLICATIONS),MALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,Does anyone know how to make the side bar transparent in Twitter with IE9?,FEMALE,35-49
0cabd31fe66ee301d3071e16cb6779a3,@gianguidozurli thks,MALE,25-34
43f91a92a71bebf5590b1b5fc2d94ee4,Me at 8.53pm http://bit.ly/eHNNPI,MALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,@stevesipress Congrats!!...@WarrenWhitlock said you have a new gig!,FEMALE,35-49
c18eb25f7e2969efe1484be29f9ee3e0,"Bachelor innovation no. 27: peanut butter in coffee  it's easy, means less shopping and serves as a handy meal replacement. You're welcome.",MALE,25-34
d8e25e3185ce770d2d8bbe2a2f650838,"Pictures of the 6th #GeoHistorian #qr marker, installed at #Kent Hotel: http://t.co/MwbACPU #NEH #ODH",MALE,35-49
b9bb3391de9efeb823f9286baf74a90a,#FF  @wildwomanfund @DigitalKaitlyn @smallchangefund @SocialNicole via http://followfriday.com,FEMALE,35-49
a344ae5613229a4e0e4b3dc4a99e4ab8,I have the attention span of a ... where was I? ... ah yes ... now I remember ... I have the attention span of a ...,MALE,35-49
4728c0de3f8b6de737f25cb1d037abbe,Cambiando de base http://goo.gl/fb/EU1g1,MALE,25-34
f7f564bb8997db9f6d6dac4b52534ba5,How to rank high on Google? Get people to hate you. http://nyti.ms/e0PuAl Potential for sentiment analysis in web search,MALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,Just completed adding finishing touches to the Wine Festival poster!,FEMALE,35-49
965d3e5d61a5630a23f8f992ed78b623,Turning Japanese?  http://www.cfr.org/publication/17554/,MALE,35-49
1c674f4da09702648fa1de63230a68de,Great Great Collection from my friend Alba Prat http://t.co/3dMv4bD via @trendland,FEMALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,http://t.co/mdP4UoF Maybe we should hire these folks to run US Gov't since they seem to do a good job with cash flow? Just a thought...,FEMALE,35-49
9184e39db1647193a8dbcbc66d9cd8d9,@MikeBrownJr @nickgiglia @reecepacheco @softtechvc @stacyspikes @vacanti @zamland @Arrington @bhargreaves @dwhittemore @ffventure @kprentiss,MALE,35-49
a679f7ede37b1a73af88c572c8bc2de8,Digitized papers going back to 1865! RT @MikeoftheWest: B.C. Newspapers in time for B.C. Day!  http://t.co/V3PRxbf,MALE,25-34
a679f7ede37b1a73af88c572c8bc2de8,"Interesting starting point tonight, @MikeoftheWest? &gt;&gt; @londonpubvan is about to tap @RandBBrewing Blueberry Lager!",MALE,25-34
43f91a92a71bebf5590b1b5fc2d94ee4,Did you install the good app? @pentolaccia http://bit.ly/dIxK2z,MALE,35-49
fcf9555aa8e3d8acffdc5e5759ebd291,"Went to the the expo at Shibuya. It is great! 
 http://imposs.ible.jp/events/20100226/",MALE,35-49
fcf9555aa8e3d8acffdc5e5759ebd291,Impossible objects such as 2d drawn Penrose triangle are just possible shadows of 3D objects.. I like this concept very much. Post Magritte,MALE,35-49
a679f7ede37b1a73af88c572c8bc2de8,New shop opening up on Main btw Hastings & Pender: Scent of a Sandwich. I shit you not. SCENT OF A SANDWICH!,MALE,25-34
3fffe236fed0e6e3c3b85b87683a1893,"Pleased to announce my representation at I. Pinckney Simons Gallery in Beaufort, SC, 711 Bay Street: See work here at: http://t.co/1OqLUNO",FEMALE,35-49
fcf9555aa8e3d8acffdc5e5759ebd291,There are african female mouses which are XY. Nature is fascinating. Human is trying to categorize things...,MALE,35-49
5f004dfb633bb6ce85930d48aa63eb33,"Staying in town for the long weekend? We're here for your wine needs! Fri: 10-9, Sat: 10-9, Sun: 11-6, Mon: 11-6. Happy #BCDay, #Vancouver!",MALE,25-34
965d3e5d61a5630a23f8f992ed78b623,The IELTS alternative http://tinyurl.com/27ppn2/www/story/10-22-2008/0004909162&EDATE=,MALE,35-49
965d3e5d61a5630a23f8f992ed78b623,Happy about the direction of the TED Spread http://tinyurl.com/4ywka6,MALE,35-49
a679f7ede37b1a73af88c572c8bc2de8,"Here it is: http://instagr.am/p/I1-LN/ RT: New shop opening up on Main btw Hastings & Pender, I shit you not: SCENT OF A SANDWICH!",MALE,25-34
a679f7ede37b1a73af88c572c8bc2de8,@kgsweeney thanks for the coffee! you are awesome. made my morning.,MALE,25-34
a679f7ede37b1a73af88c572c8bc2de8,"Thanks for the beer, @londonpubvan & @alibiroom, but it's time for something a bit stronger: off to @pourhouse_van for a cocktail!",MALE,25-34
965d3e5d61a5630a23f8f992ed78b623,Job search diagnostics http://tinyurl.com/5wmlvu,MALE,35-49
965d3e5d61a5630a23f8f992ed78b623,US Job Losses Accelerate http://tinyurl.com/6cuajw,MALE,35-49
965d3e5d61a5630a23f8f992ed78b623,World MBA Tour Tokyo November 6th preregister because otherwise you have to pay 500 yen,MALE,35-49
965d3e5d61a5630a23f8f992ed78b623,"World MBA Tour Tokyo 11/6 Top European programs will be there, but participating US schools are not as highly ranked",MALE,35-49
a679f7ede37b1a73af88c572c8bc2de8,"Old Cuban cocktail, w/ rum, mint, bitters & @BlueMtnWinery Brut is the drink of the night @pourhouse_van. It's a rich-man's Mojito!",MALE,25-34
