ID,text,GENDER,AGE
e8c5270467874985b7c7ae90c4719788,Preparing my portfolio for tomorrow! Can't believe this term is almost over!,FEMALE,25-34
965d3e5d61a5630a23f8f992ed78b623,Financial crisis hurting new job seekers in Japan http://www.yomiuri.co.jp/dy/business/20081111TDY04303.htm,MALE,35-49
da68af76b45fb8cfc8c0fe1117560522,@Hostgator broke my site in the process of transferring me to dedicated hosting from shared. It's still down. Bad service. Poorly trained.,MALE,25-34
f918181edc4e50414fc67bb738c3c1ec,This is a must watch for fans of Final Fight and Valkyrie Profile: http://youtu.be/ce9J-J30B3o,MALE,25-34
1a43f005360000663e3af1cd0813aabd,Mini Sal-Tun Burgers! http://fb.me/Al2DZjZF,FEMALE,25-34
a679f7ede37b1a73af88c572c8bc2de8,1hr & 2 beers into my #Vacay. Yes.,MALE,25-34
7ac1648c011024675f91f45ccfcb244f,"Para los amantes del golf en Espa?a, @golfinspaincom, 4 golf in spain offer",MALE,35-49
4728c0de3f8b6de737f25cb1d037abbe,Yepee! My first tweet!,MALE,25-34
1a5c719927ffc0125d700c78325c3079,"Amazon Local deals service now developing mobile app for iOS/Android/web http://t.co/kVm5X8m arch built w/ AWS, RubyOnRails, SOA....",MALE,35-49
1512dab3d94586717e785556eb10d85f,"I'm in, long as they're veggie! RT @pekingspring: just hit upon the idea of making candy hearts, but with ""fuck off"" and ""cunt"" on them.",MALE,50-64
ffebde2ea8e58db6778f01ce69b3af3f,Hoping http://post.ly/QuIg,MALE,65-xx
2468cef30234b0b6d584485edb879146,@mikehadlow i've been in erlang for the last 6 weeks. Not missing the static typing much at all.,MALE,35-49
2e829b013a4ae3639c50d9e929cda32a,@R_Lukaku cannot wait to see you at chelsea! from a belgian ex-pat in london,MALE,35-49
a464f023d67305591ff5d12b2e12a029,"Letters from 500 ""Portal"" http://wp.me/pI226-qP",MALE,50-64
5f004dfb633bb6ce85930d48aa63eb33,"Are you a #coffee lover? Then, you'll love Caf? Culture #Pinotage! Check out Dave's vlog on this fascinating new arrival: http://ht.ly/5Wwoj",MALE,25-34
7a42f316e5c86861126bbe7bd7a5ff48, &gt;_&lt; It's not even 9:00 am and I'm already wasting my time outwitting morons #Dammit #GetMeOuttaHere,MALE,35-49
437637df7acbd4b438a87fb52c95b4ec,"Arduino has arrived! Right, that's my weekend sorted...",MALE,18-24
d08638b571c2305a2687f54defc8a566,@tinyFey just send me an email with your resume and any other pertinent information -- thanks!,MALE,25-34
