ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,GENDER,AGE
e8c5270467874985b7c7ae90c4719788,2124,10.57,0.75,42.8,66.57,18.6,38.04,8.8,6.36,3.86,0.42,1.6,0.33,0.14,2.45,4.57,11.72,6.64,1.74,8.85,0.61,4.76,11.39,2.92,1.22,1.69,3.06,0.0,5.6,0.24,0.19,0.47,7.25,5.79,1.55,0.28,0.42,0.52,10.45,1.41,0.94,1.04,1.6,0.89,0.56,2.78,1.51,1.98,1.04,0.42,0.33,1.18,0.14,0.33,0.28,0.42,12.9,2.4,5.46,5.18,3.39,1.04,2.17,0.33,0.38,0.19,0.19,1.22,0.24,0.19,FEMALE,25-34
965d3e5d61a5630a23f8f992ed78b623,11551,26.25,0.4,27.62,51.43,26.56,23.62,3.34,2.13,0.63,0.42,0.7,0.1,0.28,1.21,3.13,5.19,2.87,0.69,3.74,0.38,1.61,9.39,2.1,0.62,1.43,6.41,0.09,4.48,0.1,0.12,0.24,3.17,1.85,1.24,0.1,0.48,0.28,8.11,1.69,1.33,0.62,1.11,0.56,0.29,1.73,0.81,1.14,0.59,0.28,0.29,0.58,0.14,0.29,0.1,0.05,10.7,1.61,5.92,2.91,9.7,1.97,0.99,0.21,2.28,0.07,0.17,0.07,0.05,0.03,MALE,35-49
da68af76b45fb8cfc8c0fe1117560522,18189,18.28,1.49,22.04,62.43,17.73,34.67,8.5,4.83,1.81,0.22,2.45,0.08,0.27,3.67,5.25,8.74,5.64,0.95,6.47,0.8,3.43,8.85,2.75,0.7,1.74,5.98,0.08,5.25,0.11,0.09,0.18,5.42,3.99,1.23,0.18,0.37,0.25,10.73,1.52,1.97,1.15,2.4,0.65,0.73,1.94,2.38,0.78,0.43,0.09,0.21,0.92,0.14,0.41,0.09,0.29,11.73,1.17,3.79,5.71,3.58,1.86,1.08,0.51,5.01,0.09,0.09,0.19,0.07,0.08,MALE,25-34
f918181edc4e50414fc67bb738c3c1ec,13190,12.56,0.8,29.25,69.57,18.22,41.75,9.11,5.75,3.9,0.17,1.04,0.24,0.4,3.36,6.03,11.83,7.26,2.33,7.79,0.92,4.11,10.57,4.28,1.25,2.35,3.54,0.49,5.27,0.05,0.14,0.59,5.61,3.33,2.32,0.24,1.06,0.33,12.54,1.65,1.49,1.46,2.6,0.77,0.52,3.15,2.33,2.38,1.04,0.5,0.53,2.43,0.78,0.42,0.3,1.11,11.9,1.24,5.37,5.38,1.46,1.61,2.93,0.36,0.69,0.53,0.3,0.39,0.13,0.33,MALE,25-34
1a43f005360000663e3af1cd0813aabd,13664,17.34,0.71,19.53,59.59,17.31,33.26,10.32,6.92,4.46,0.5,1.72,0.09,0.15,3.4,4.84,8.97,4.5,1.85,5.96,0.69,2.96,8.11,2.69,0.54,1.57,2.3,0.07,5.34,0.13,0.11,0.46,6.43,6.16,0.29,0.03,0.08,0.1,9.54,0.7,1.57,0.67,1.16,1.09,0.29,3.5,0.97,2.69,1.04,0.2,0.24,4.68,0.19,0.14,1.52,2.92,9.4,0.75,3.81,4.66,0.66,1.54,3.33,0.21,0.9,0.14,0.05,0.59,0.08,0.1,FEMALE,25-34
a679f7ede37b1a73af88c572c8bc2de8,10405,11.16,0.84,34.4,51.33,21.83,27.97,6.2,3.5,1.9,0.42,0.94,0.09,0.14,2.7,4.37,6.52,4.25,1.06,4.73,0.36,2.75,7.78,1.88,0.81,1.59,4.33,0.27,3.81,0.12,0.26,0.25,5.22,4.11,1.15,0.1,0.51,0.18,6.66,0.83,0.59,0.57,1.1,0.8,0.33,1.79,1.02,3.05,1.1,0.34,0.44,3.25,0.41,0.19,0.33,2.45,10.53,0.97,4.31,5.36,1.11,1.32,2.56,0.44,0.74,0.22,0.12,0.43,0.09,0.12,MALE,25-34
7ac1648c011024675f91f45ccfcb244f,6450,28.04,1.81,31.33,17.86,20.59,9.66,2.42,2.23,1.29,0.02,0.62,0.31,0.0,0.19,3.58,0.78,0.51,0.0,0.7,0.02,0.22,0.99,0.42,1.66,0.2,2.19,0.0,1.86,0.31,0.09,0.05,1.66,1.32,0.34,0.02,0.08,0.0,1.04,0.29,0.11,0.09,0.11,0.23,0.05,0.12,0.06,0.28,0.16,0.0,0.09,0.2,0.05,0.03,0.05,0.09,1.84,0.22,0.65,0.87,0.67,0.28,2.37,0.03,0.4,0.26,0.0,0.42,0.0,0.05,MALE,35-49
4728c0de3f8b6de737f25cb1d037abbe,4187,20.23,0.53,41.72,45.69,23.38,25.1,4.25,2.67,1.67,0.12,0.6,0.14,0.14,1.58,3.96,5.21,3.08,0.86,3.89,0.17,2.13,8.38,1.89,0.69,1.86,5.18,0.02,2.56,0.0,0.05,0.1,3.82,2.94,0.88,0.17,0.24,0.33,7.83,0.98,1.74,0.53,1.17,0.76,0.5,1.67,0.86,1.5,0.6,0.26,0.53,0.53,0.14,0.12,0.17,0.12,10.2,0.88,4.75,4.18,2.36,2.13,1.41,0.57,0.5,0.21,0.05,0.31,0.07,0.07,MALE,25-34
1a5c719927ffc0125d700c78325c3079,18373,34.28,1.24,19.76,50.31,22.82,29.05,6.07,3.31,1.55,0.22,1.06,0.14,0.34,2.76,2.68,8.04,4.96,1.43,5.09,0.87,2.53,9.0,2.9,1.08,1.93,3.35,0.0,4.71,0.13,0.03,0.17,3.37,2.6,0.81,0.18,0.22,0.11,9.82,1.83,1.65,0.81,1.76,0.64,0.27,1.73,1.89,1.55,0.84,0.42,0.27,0.48,0.15,0.14,0.04,0.15,9.36,1.03,5.01,3.36,2.85,1.47,1.19,0.16,0.97,0.45,0.14,0.22,0.03,0.2,MALE,35-49
1512dab3d94586717e785556eb10d85f,12860,13.3,1.17,28.13,70.61,20.5,42.28,9.67,5.89,3.38,0.48,1.04,0.6,0.39,3.77,5.84,11.01,7.25,1.98,7.02,0.93,4.38,11.73,3.69,1.35,1.96,2.48,0.18,5.72,0.19,0.1,0.5,5.54,4.04,1.54,0.25,0.53,0.27,12.49,1.54,1.37,1.28,2.26,1.12,0.56,2.85,2.26,2.2,1.08,0.51,0.53,1.51,0.54,0.3,0.19,0.57,14.06,1.7,6.04,6.52,2.56,1.77,1.52,0.47,1.25,0.28,0.12,0.38,0.12,0.32,MALE,50-64
